,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
3247, Abildvang 68 2700 Brønshøj ,2680000.0,2012-03-04, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/1506/7861292F-08B6-48EE-B92A-F30F48714E8E,https://www.boliga.dk//bbrinfo/7861292f-08b6-48ee-b92a-f30f48714e8e,"(55.71523338, 12.46505937)","Abildvang 68, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,101, 1,101,Vandskyllende toilet i enheden,4, 2,400 V el fra værk
3248, Abildvang 68 2700 Brønshøj ,2913709.0,2008-02-07, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/1506/7861292F-08B6-48EE-B92A-F30F48714E8E,https://www.boliga.dk//bbrinfo/7861292f-08b6-48ee-b92a-f30f48714e8e,"(55.71523338, 12.46505937)","Abildvang 68, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,101, 1,101,Vandskyllende toilet i enheden,4, 2,400 V el fra værk
3249, Gaunøvej 11 2700 Brønshøj ,6200000.0,2020-02-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/176541/0E57CC50-7F69-4BB8-8052-93E9BE9AC07F,https://www.boliga.dk//bbrinfo/0e57cc50-7f69-4bb8-8052-93e9be9ac07f,"(55.69890553, 12.49951322)","Gaunøvej 11, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,179, 2,179,Vandskyllende toilet i enheden,6, 2,-
3250, Gaunøvej 11 2700 Brønshøj ,4700000.0,2019-07-30, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/176541/0E57CC50-7F69-4BB8-8052-93E9BE9AC07F,https://www.boliga.dk//bbrinfo/0e57cc50-7f69-4bb8-8052-93e9be9ac07f,"(55.69890553, 12.49951322)","Gaunøvej 11, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,179, 2,179,Vandskyllende toilet i enheden,6, 2,-
3252," Højenhald 8, 1. tv 2700 Brønshøj ",1595000.0,2020-01-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/256146/C41F2A91-7CCD-42C2-B317-8662FE19095B,https://www.boliga.dk//bbrinfo/c41f2a91-7ccd-42c2-b317-8662fe19095b,"(55.70508287, 12.50767973)","Højenhald 8, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,53, 1,53,Vandskyllende toilet i enheden,2, 1,-
3258," Frederikssundsvej 402, 2. th 2700 Brønshøj ",1800000.0,2020-10-09, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/163822/21D02A3A-CB30-481E-A23F-CF4634E3657F,https://www.boliga.dk//bbrinfo/21d02a3a-cb30-481e-a23f-cf4634e3657f,"(55.71627114, 12.46096989)","Frederikssundsvej 402, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,63, 1,63,Vandskyllende toilet i enheden,2, 1,-
3259," Frederikssundsvej 402, 2. th 2700 Brønshøj ",750000.0,2011-06-02, Handelstype Auktion,https://www.boliga.dk//salg/info/101/163822/21D02A3A-CB30-481E-A23F-CF4634E3657F,https://www.boliga.dk//bbrinfo/21d02a3a-cb30-481e-a23f-cf4634e3657f,"(55.71627114, 12.46096989)","Frederikssundsvej 402, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,63, 1,63,Vandskyllende toilet i enheden,2, 1,-
3260," Frederikssundsvej 402, 2. th 2700 Brønshøj ",1550000.0,2007-01-08, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/163822/21D02A3A-CB30-481E-A23F-CF4634E3657F,https://www.boliga.dk//bbrinfo/21d02a3a-cb30-481e-a23f-cf4634e3657f,"(55.71627114, 12.46096989)","Frederikssundsvej 402, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,63, 1,63,Vandskyllende toilet i enheden,2, 1,-
3263," Frederikssundsvej 346, 1. 108 2700 Brønshøj ",565000.0,2020-10-09, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/814653/E75DB0C7-72C7-455F-874D-DE411298E7B1,https://www.boliga.dk//bbrinfo/e75db0c7-72c7-455f-874d-de411298e7b1,"(55.7129811, 12.46989281)","Frederikssundsvej 346, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,35, 1,35,Vandskyllende toilet i enheden,1, 1,-
3264," Frederikssundsvej 346, 1. 108 2700 Brønshøj ",380000.0,2014-09-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/814653/E75DB0C7-72C7-455F-874D-DE411298E7B1,https://www.boliga.dk//bbrinfo/e75db0c7-72c7-455f-874d-de411298e7b1,"(55.7129811, 12.46989281)","Frederikssundsvej 346, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,35, 1,35,Vandskyllende toilet i enheden,1, 1,-
3265," Frederikssundsvej 346, 1. 108 2700 Brønshøj ",550000.0,2007-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/814653/E75DB0C7-72C7-455F-874D-DE411298E7B1,https://www.boliga.dk//bbrinfo/e75db0c7-72c7-455f-874d-de411298e7b1,"(55.7129811, 12.46989281)","Frederikssundsvej 346, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,35, 1,35,Vandskyllende toilet i enheden,1, 1,-
3268, Skråningen 3A 2700 Brønshøj ,2650000.0,2020-10-09, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/504689/AE09501A-5AEF-4844-AB08-3DC5D2BF8B0F,https://www.boliga.dk//bbrinfo/ae09501a-5aef-4844-ab08-3dc5d2bf8b0f,"(55.70528423, 12.46149891)","Skråningen 3A, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,Dobbelthus,Badeværelse i enheden,154, 2,154,Vandskyllende toilet i enheden,5, 2,-
3269, Skråningen 3A 2700 Brønshøj ,1870000.0,2017-09-10, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/504689/AE09501A-5AEF-4844-AB08-3DC5D2BF8B0F,https://www.boliga.dk//bbrinfo/ae09501a-5aef-4844-ab08-3dc5d2bf8b0f,"(55.70528423, 12.46149891)","Skråningen 3A, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,Dobbelthus,Badeværelse i enheden,154, 2,154,Vandskyllende toilet i enheden,5, 2,-
3270, Skråningen 3A 2700 Brønshøj ,2801000.0,2016-05-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/504689/AE09501A-5AEF-4844-AB08-3DC5D2BF8B0F,https://www.boliga.dk//bbrinfo/ae09501a-5aef-4844-ab08-3dc5d2bf8b0f,"(55.70528423, 12.46149891)","Skråningen 3A, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,Dobbelthus,Badeværelse i enheden,154, 2,154,Vandskyllende toilet i enheden,5, 2,-
3271," Frederikssundsvej 188, 2. tv 2700 Brønshøj ",3300000.0,2020-10-09, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/158713/88FB67DF-5966-42CE-B14D-A02925293E57,https://www.boliga.dk//bbrinfo/88fb67df-5966-42ce-b14d-a02925293e57,"(55.70554644, 12.49292091)","Frederikssundsvej 188, kl., 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,99, 1,99,Vandskyllende toilet i enheden,3, 1,-
